ref_id,disclosure_group,title,name,purpose
1,FOVC,Minister,O Sullivan  Sue,Leadership in Counter Terrorism conference
2,FOVC,Minister,O Sullivan or  Sue,International Symposium on Victims of Terrorism  the Victim Support Europe Conference and the Victims of Crime International executive meeting
3,FOVC,Minister,O Sullivan or  Sue,Victims and Survivors of Crime Week 2017 Federal Symposium and presented at the Victims Advisory Committee Annual meeting
4,FOVC,Minister,O Sullivan or  Sue,Expert Advisory Council Meeting   Saskatchewan
5,FOVC,Minister,O Sullivan or  Sue,Canadian Association of Chiefs of Police  CACP  Victims Committee Meeting and at the CACP Counter Terrorism Meeting and attended the CACP Annual Conference
6,FOVC,Minister,O Sullivan or  Sue,Public Engagement on the Federal Government s Criminal Justice System Review
7,FOVC,Minister,O Sullivan or  Sue,Public Engagement on the Federal Government s Criminal Justice System Review
8,FOVC,Minister,O Sullivan or  Sue,Ontario Provincial Police Senior Officers Annual Meeting
9,FOVC,Minister,O Sullivan or  Sue,Community presentation and presentation to Victims Services Agencies
10,FOVC,Minister,O Sullivan or  Sue,National Child Exploitation Conference
11,FOVC,Minister,O Sullivan or  Sue,Public Engagement on the Federal Government s Criminal Justice System Review
12,FOVC,Minister,Illingworth or  Heidi,Visited two healing lodges for the purposes of education
13,FOVC,Minister,Illingworth or  Heidi,Stakeholder meetings
14,MPSES,Minister,Lawrence MacAulay,Bilateral meeting with AgroPur
15,MPSES,Deputy Minister,Chris Forbes,Agri Food Economic Strategy Table meeting
16,MPSES,Communications Advisor,Oliver Anderson,Minister to Agricultural Greenhouse Gases Program Announcement
17,MPSES,Minister,Lawrence MacAulay,Government s Consultations on a Food Policy for Canada
18,MPSES,Director of Policy,Maxime Dea,Minister to the Agriculture and Agrifood Canada Ministerial Mission to Vietnam and India
19,MPSES,Director of Communications,Guy Gallant,Minister at the Agriculture And Agrifood Canada Ministerial Mission to Vietnam and India
20,MPSES,Director of Communications,Guy Gallant,government meetings
21,MPSES,Director of Communications,Guy Gallant,Minister to Saskatchewan Association of Rural Municipalities Convention  Meetings with Saskatchewan Minister of Agriculture and meetings with stakeholders
22,MPSES,Director of Communications,Guy Gallant,Minister to attend Seafood Expo North America  attend bilateral meetings with provincial and state legislators
23,MPSES,Director of Communications,Guy Gallant,Minister to an announcement in Charlottetown to accompany the Minister to meetings with Canola Farmers  producers and processors in Regina 
24,MPSES,Director of Communications,Guy Gallant,Minister for an announcement on behalf of the Government of Canada
25,MPSES,Director of Communications,Guy Gallant,Minister to a bilateral meeting with Ontario Minister of Agriculture and to the opening and tour of Salon International de l alimentation
26,MPSES,Director of Communications,Guy Gallant,Minister for a government announcement and meetings with the Premier and stakeholder
27,MPSES,Director of Communications,Guy Gallant,Minister to Quebec Outreach  attend a bilateral meeting with the Quebec Minister of Agriculture  Fisheries and Food  meeting with L Union des producteurs Agricoles and an interview with la Terre de Chez Nous
28,MPSES,Director of Communications,Guy Gallant,Minister with visit from German Delegation to Prince Edward Island  Meeting with University of Prince Edward Island president May 22 23  Minister on an Outreach to Alberta where he took part in Grain Industry round table on Transportation  a roundtable with Beef SectorStakeholders and Local Media Interviews May 24 to May 26
29,MPSES,Director of Communications,Guy Gallant,Minister to launch the Government s consultations on a Food Policy for Canada
30,MPSES,Policy Advisor,Abed Harb,Minister to Saskatchewan Association of Rural Municipalities Convention  meetings with Saskatchewan Minister of Agriculture and meetings with stakeholders
31,MPSES,Policy Advisor,Abed Harb,Minister to meeting with Canola Farmers  producers and processors
32,MPSES,Special Assistant,Barry Hicken,Accompany the Minister to meetings and briefings
33,MPSES,Deputy Minister,Andrea Lyon,Public Policy Forum Growth Summit in Toronto
34,MPSES,Deputy Minister,Andrea Lyon,Salon International de l Alimentation  AgriFood Show in Toronto and to accompany the Minister for European Commissioner Hogan s visit
35,MPSES,Minister,Lawrence MacAulay,Agriculture and Agri Food Canada ministerial Mission to Vietnam and India
36,MPSES,Minister,Lawrence MacAulay,the Saskatchewan Association of Rural Municipalities Convention and for meetings with the Saskatchewan Minister of Agriculture and Stakeholders
37,MPSES,Minister,Lawrence MacAulay,the Seafood Expo North America  bilateral meetings with provincial and state legislators and stakeholders  and deliver a keynote speech to the new England Canada Business Council
38,MPSES,Minister,Lawrence MacAulay,Announcement of the Agricultural Greenhouse Gases Program and to Ottawa for briefings
39,MPSES,Minister,Lawrence MacAulay,Meetings with Canola farmers  producers and processors
40,MPSES,Minister,Lawrence MacAulay,Bilateral meeting with Ontario Minister of Agriculture and provide opening remarks and tour Salon International de l Alimentation
41,MPSES,Minister,Lawrence MacAulay,Quebec Outreach  to attend a bilateral meeting with the Quebec Minister of Agriculture  Fisheries and Food  a meeting with l Union des producteurs agricoles  and a review with la Terre de Chez Nous
42,MPSES,Minister,Lawrence MacAulay,Outreach to Alberta to take part in a Grain Industry Roundtable on Transportation  a roundtable with Beef sector Stakeholders and Local Media Interviews
43,MPSES,Director of Parliamentary Affairs,Matthew Mann,Minister to attend Seafood Expo North America  attend bilateral meetings with provincial and state legislators   deliver a keynote speech to the new England Canada Business Council
44,MPSES,Director of Parliamentary Affairs,Matthew Mann,Minister for meetings with stakeholders and government announcements
45,MPSES,Director of Parliamentary Affairs,Matthew Mann,Minister for a government announcement
46,MPSES,Chief of Staff,Mary Jean McFall,the Growth Summit  Agriculture and Digital Adoption Breakfast Session  Agri Food Powerhouse at the Metro Toronto Convention Center and a bilateral meeting with counterpart from the Ontario Ministry of Agriculture  Food and Rural Affairs 
47,MPSES,Communications Advisor,Oliver Anderson,Minister outreach in Manitoba 
48,MPSES,Chief of Staff,Mary Jean McFall,Minister with the visit from the German Delegation to Prince Edward Island 
49,MPSES,Policy Advisor,Alison Porter,Minister for meetings with stakeholders and government announcements
50,MPSES,Policy Advisor,Alison Porter,Minister to a bilateral meeting with Ontario Minister of Agriculture and to the opening and tour of the Salon International de l Alimentation
51,MPSES,Policy Advisor,Alison Porter,Minister with the visit from the German Delegation to Prince Edward Island 
52,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Minister to Quebec Outreach  attend a bilateral meeting with the Quebec Minister of Agriculture  Fisheries and Food  meeting with l Union des producteurs agricoles and an interview with la Terre de Chez Nous 
53,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to an evening event with the Quebec horticultural industry
54,MPSES,Associate Deputy Minister,Nada Semaan,Associate Deputy Minister did Outreach in Guelph March 27  2017 and attended Canada s Best Diversity Employers  2017 Reception on March 28
55,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to an announcement at MacDonald College Campus of McGill University
56,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary at the Regional Food and Policy consultations in Coaticook  St Hyacinthe and Bonaventure Quebec
57,MPSES,Associate Deputy Minister,Nada Semaan,Director Education Program  DEP 
58,MPSES,Associate Deputy Minister,Nada Semaan,Core Mandate   Meetings
59,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to an announcement for Food Policy at Jean Talon Market
60,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to an announcement with the Pork Producers of Quebec City
61,MPSES,Policy Advisor,Sangeeta Lalli,Minister to announce the launch of the Atlantic Trade and Investment Strategy and participate in a roundtable with the agriculture Sector from Atlantic Canada 
62,MPSES,Policy Advisor,Alison Porter,Minister to announce the launch of the Atlantic Trade and Investment Strategy and participate in a Roundtable with the Agriculture Sector from Atlantic canada
63,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to an announcement for the Inauguration and visit of the new facilities at the University Laval Agronomy Station in Saint   Augustin  Announcement for Canadian Agricultural Adaptation  Meeting with the Quebec Cranberry Growers  Association  Visit a Cranberry Farm 
64,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary  Gala Saturne   honoring outstanding women in agriculture   Congres de l erable 2017   North American Maple Syrup industry annual meeting in Levis  Quebec 
65,MPSES,Parliamentary Secretary,Jean Claude Poissant,an announcement for the inauguration and visit of the new facilities at the University Laval Agronomy Station in Saint   Augustin  Announcement for Canadian Agricultural Adaptation  Meeting with the Quebec Cranberry Growers  Association  visit a Cranberry Farm 
66,MPSES,Parliamentary Secretary,Jean Claude Poissant,the Gala Saturne   honoring outstanding women in agriculture   Congres de l erabre 2017   North American Maple Syrup industry annual meeting in Levis  Quebec 
67,MPSES,Chief of Staff,Mary Jean McFall,To Accompany the Minister to the National Association of States Department of Agriculture Annual meeting in New Orleans  Louisiana  
68,MPSES,Minister,Lawrence MacAulay,the National Association of State Departments of Agriculture annual Meeting in New Orleans  Louisiana 
69,MPSES,Communications Advisor,Oliver Anderson,Minister to The Royal Winter Fair 
70,MPSES,Minister,Lawrence MacAulay,Travel for the Agriculture and Agri Food  ministerial Mission to China 
71,MPSES,Director of Communications,Guy Gallant,Minister to the National Association of State Departments of Agriculture Annual Meeting in New Orleans 
72,MPSES,Director of Communications,Guy Gallant,Travel for the Agriculture and Agri Food Canada Ministerial Mission to China 
73,MPSES,Minister,Lawrence MacAulay,For the Quebec  New Brunswick  and Nova Scotia outreaches
74,MPSES,Minister,Lawrence MacAulay,Ontario outreach announcements in St  Ann s  Simcoe  Scotland area  St  Catharines  and Niagara on the Lake  Ontario
75,MPSES,Director of Policy,Alison Porter,Minister on the Northwest Territories outreach 
76,MPSES,Minister,Lawrence MacAulay,Food Policy for Canada   Regional Consultations in Vancouver and in Yellowknife  Tour of University of British Columbia Farm 
77,MPSES,Deputy Minister,Chris Forbes,Federal Provincial and Territorial Annual Agricultural Minister s meeting
78,MPSES,Deputy Minister,Chris Forbes,Meeting with the Honourable Minister MacAulay and United States Department of Agriculture
79,MPSES,Director of Communications,Guy Gallant,Minister at the Alimentaria Food Show in Mexico City
80,MPSES,Deputy Minister,Chris Forbes,Meeting with Minister and the Canadian Food Inspection Agency President 
81,MPSES,Deputy Minister,Chris Forbes,Pan Prairie Agri Food Stategy Session
82,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to the Inauguration of the 50th Agriculture Fair of Expo Rive Nord
83,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to the Annual General Meeting for the Dairy Farmers of Canada
84,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary at a meeting and attend a speaking engagement dinner at L Exposition agricole et alimentaire de Sainte Hyacinthe
85,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary at the IOWA Summit
86,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to l Exposition Agricole et Alimentaire de Ste Hyacinthe
87,MPSES,Parliamentary Secretary,Jean Claude Poissant,an announcement with the Pork Producers of Quebec City
88,MPSES,Parliamentary Secretary,Jean Claude Poissant,the Annual Meeting for the Dairy Farmers of Canada
89,MPSES,Parliamentary Secretary,Jean Claude Poissant,l Exposition agricole et alimentaire de Sainte Hyacinthe
90,MPSES,Parliamentary Secretary,Jean Claude Poissant,the 2017 IOWA Summit
91,MPSES,Parliamentary Secretary,Jean Claude Poissant,the Regional Food consultation in Quebec
92,MPSES,Legislative Assistant  Policy Advisor,Wallace McLean,Minister to announce the launch of the Atlantic Trade and Investment Strategy and participate in a Roundtable with the Agriculture Sector from Atlantic Canada
93,MPSES,Legislative Assistant  Policy Advisor,Wallace McLean,Minister to the Atlantic Growth Strategy   July 2017 Leadership Committee
94,MPSES,Legislative Assistant  Policy Advisor,Wallace McLean,Minister to Saint John for New Brunswick Outreach
95,MPSES,Director of Parliamentary Affairs,Matthew Mann,Minister at the Annual Conference of Federal  Provincial and Territorial Ministers and Deputy Ministers of Agriculture in Newfoundland and Labrador
96,MPSES,Director of Parliamentary Affairs,Matthew Mann,Minister on a Pacific Northwest Region Outreach to Portland  Oregon and Sun Valley  Boise  Idaho
97,MPSES,Policy Advisor,Sangeeta Lalli,Minister to Outreach in SW Ontario including Guelph  Waterloo  Kitchener including Elora Research Barn Announcement with Minister Leal  market visit  Conestoga meat packers tour
98,MPSES,Policy Advisor,Sangeeta Lalli,Minister for announcement on behalf of government
99,MPSES,Policy Advisor,Sangeeta Lalli,Minister to bi lateral with BC Agriculture Minister and an announcement at the University of Manitoba  bilateral with Manitoba Agriculture Minister
100,MPSES,Policy Advisor,Abed Harb,Minister to the Calgary Stampede
101,MPSES,Policy Advisor,Abed Harb,Minister to an announcement at the University of Manitoba and a bilateral with Manitoba Agriculture Minister
102,MPSES,Policy Advisor,Alison Porter,To brief the Minister on the MPT call and the Canadian Agricultural Partnership
103,MPSES,Policy Advisor,Alison Porter,To brief the Minister on the Regional Food Policy Consultation in Charlottetown and to attend with him
104,MPSES,Director of Communications,Guy Gallant,Minister to Savannah  Georgia for the Trilateral Agriculture Ministers meeting with the United States Secretary of Agriculture and the Mexican Secretary of Agriculture 
105,MPSES,Director of Communications,Guy Gallant,Minister for announcements  meeting with provincial government stakeholders  agriculture outreach  and events with the Minister of Environment and Prime Minister 
106,MPSES,Director of Communications,Guy Gallant,Minister for a bilateral meeting with the United States Secretary of Agriculture 
107,MPSES,Director of Communications,Guy Gallant,Minister to the Atlantic Growth Strategy   July 2017 Leadership Committee and the Calgary Stampede
108,MPSES,Director of Communications,Guy Gallant,Minister at the annual conference of federal  provincial and territorial Ministers and Deputy Ministers of Agriculture in Newfoundland and Labrador 
109,MPSES,Director of Communications,Guy Gallant,Minister on a Pacific Northwest Region outreach to Portland  Oregon and Sun Valley  Boise  Idaho 
110,MPSES,Director of Communications,Guy Gallant,Minister to announcement  stakeholder meetings and Agriculture Canada Announcement with PEI Agriculture Federation as Research Farm 
111,MPSES,Director of Communications,Guy Gallant,Minister for Government announcements  meetings with Stakeholders and events with the Minister 
112,MPSES,Director of Communications,Guy Gallant,Minister to the conference of the New England Governors and eastern canadian premiers meeting 
113,MPSES,Director of Communications,Guy Gallant,Minister to bilateral meeting with AgroPur 
114,MPSES,Communications Advisor,Oliver Anderson,Minister to an outreach in south western Ontario Guelph  Waterloo  Kitchener and Elora Research Barn Announcement with Minister Leal  market visit  Conestoga meat packers tour
115,MPSES,Director of Communications,Guy Gallant,Minister to Saint John for New Brunswick Outreach 
116,MPSES,Chief of Staff,Mary Jean McFall,Minister for a Bilateral Meeting with the United states Secretary of Agriculture
117,MPSES,Chief of Staff,Mary Jean McFall,Minister to Savannah  Georgia for the Trilateral Agriculture Ministers meeting with the U S  Secretary of Agriculture and the Mexican Secretary of Agriculture
118,MPSES,Chief of Staff,Mary Jean McFall,Minister at the annual Conference of Federal  Provincial and Territorial Ministers and  Deputy Ministers of Agriculture in Newfoundland and Labrador
119,MPSES,Chief of Staff,Mary Jean McFall,Minister with  meetings in Prince Edward Island
120,MPSES,Minister,Lawrence MacAulay,Bilateral meeting with the United States Secretary of Agriculture 
121,MPSES,Minister,Lawrence MacAulay,Travel to Savannah  Georgia for the Trilateral Agriculture Ministers meeting with the U  S  Secretary of Agriculture and the Mexican Secretary of Agriculture 
122,MPSES,Minister,Lawrence MacAulay,Announce the launch of the Atlantic Trade and Investment Strategy and participate in a Roundtable with the Agriculture Sector from Atlantic Canada 
123,MPSES,Minister,Lawrence MacAulay,Outreach to South West Ontario including Guelph  Waterloo and Kitchener  Announcement at the Elora Research Barn with the Ontario Minister of Agriculture  St  Jacob s Market visit and Conestega meat pakers tour 
124,MPSES,Minister,Lawrence MacAulay,Briefings in Ottawa and St  John s  Newfoundland for the Annual Conference of Federal  Provincial and Territorial Ministers and Deputy Ministers od Agriculture
125,MPSES,Minister,Lawrence MacAulay,the Atlantic Growth Strategy   July 2017 Leadership Committee in Steady Brook  Newfoundland and the Calgary Stampede
126,MPSES,Minister,Lawrence MacAulay,Travel to Portland  Oregon and Sun Valley  Boise  Idaho for a Pacific Northwest Region Outreach
127,MPSES,Minister,Lawrence MacAulay,To British Columbia for a bilateral meeting with the British Columbia Agriculture Minister and CFIA announcement and to Manitoba for a bilateral meeting with the Manitoba Agriculture Minister and AAFC announcement at the University of Manitoba
128,MPSES,Minister,Lawrence MacAulay,To participate in a New Brunswick Outreach
129,MPSES,Associate Deputy Minister,Nada Semaan,Quebec Outreach Conseil de la Transformation Alimentaire du Quebec Annual General meetings and Staff visits 
130,MPSES,Associate Deputy Minister,Nada Semaan,Associate Deputy Minister  s Ontario outreach visit 
131,MPSES,Associate Deputy Minister,Nada Semaan,Associate Deputy Minister attends at Director Education Program Course 
132,MPSES,Associate Deputy Minister,Nada Semaan,China Mission to Support Minister in opening new market 
133,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to Meeting with dairy farmers of Quebec Monteregie Est Ouest  Meeting with sheep milk producers and sheep cheese and to visit the MacDonald Campus of U McGill 
134,MPSES,Director of Policy,Alison Porter,Travel for the Agriculture and Agri Food Canada Ministerial Mission to China 
135,MPSES,Chief of Staff,Mary Jean McFall,Minister to the Cabinet Retreat in St  John s  Newfoundland 
136,MPSES,Director of Parliamentary Affairs,Matthew Mann,Minister at the Agriculture and Agri Food Canada Ministerial Mission to Germany  Belgium and Italy 
137,MPSES,Minister,Lawrence MacAulay,the Cabinet retreat in St  John s  Newfoundland 
138,MPSES,Minister,Lawrence MacAulay,For an Outreach to Manitoba 
139,MPSES,Minister,Lawrence MacAulay,Agriculture and Agri Food Canada MINISTERIAL MISSION to Germany  Belgium and Italy 
140,MPSES,Minister,Lawrence MacAulay,the Royal Agriculture Winter Fair 
141,MPSES,Minister,Lawrence MacAulay,the Canadian Western Agribition and to make an announcement 
142,MPSES,Director of Communications,Guy Gallant,Minister at the Agriculture and Agri Food Canada Ministerial Mission to Germany  Belgium and Italy 
143,MPSES,Director of Communications,Guy Gallant,Minister for government announcement  
144,MPSES,Director of Communications,Guy Gallant,Minister at the Canadian Western Agribition and at an announcement 
145,MPSES,Policy Advisor,Sangeeta Lalli,Minister to outreach in British Columbia 
146,MPSES,Policy Advisor,Sangeeta Lalli,Minister to Meetings and announcements 
147,MPSES,Policy Advisor,Dan Lussier,Minister to outreach in Manitoba 
148,MPSES,Deputy Minister,Chris Forbes,Deputy Minister s Outreach to Vineland Research Center and Deputy Minister attending the Departmental Audit Committee 
149,MPSES,Deputy Minister,Chris Forbes,European ministerial mission 
150,MPSES,Deputy Minister,Chris Forbes,Alberta and British Columbia outreach 
151,MPSES,Minister,Lawrence MacAulay,Western Outreach  Calgary Stampede and Federal Provincial Territorial Conference
152,MPSES,Director of Communications,Guy Gallant,Minister for Government announcements and the Atlantic Growth Strategy
153,MPSES,Director of Communications,Guy Gallant,Minister at the Atlantic Growth Strategy Leadership Committee Meeting in Moncton and the Ministerial Mission in Sacramento  California
154,MPSES,Minister,Lawrence MacAulay,the Alimentaria Food Show in Mexico City
155,MPSES,Minister,Lawrence MacAulay,the American Farm Bureau Federal Annual Convention in Nashville  Tennessee
156,MPSES,Minister,Lawrence MacAulay,the Cabinet Retreat in London  Ontario
157,MPSES,Minister,Lawrence MacAulay,For a Southwest Ontario Outreach which included an Organics Announcement in Guelph and a roundtable with Stakeholder Producer Groups in Kitchener
158,MPSES,Minister,Lawrence MacAulay,Saskatchewan Outreach; Media Interviews  participate in Pulse Roundtable and Announcements at 2018 Winter Regional Pulse Meeting
159,MPSES,Minister,Lawrence MacAulay,the Atlantic Growth Strategy Leadership Committee Meeting in Moncton and the Ministerial Mission to Sacramento  California
160,MPSES,Chief of Staff,Mary Jean McFall,Minister at the Alimentaria Food  Show in Mexico City
161,MPSES,Chief of Staff,Mary Jean McFall,Minister for the Federal Provincial Territorial call with Ministers in Charlottetown and in London to support the Minister at the Cabinet Retreat
162,MPSES,Chief of Staff,Mary Jean McFall,Minister on Ministerial Mission to Sacramento  California
163,MPSES,Director of Parliamentary Affairs,Matthew Mann,Minister to the American Farm Bureau Federation Annual Convention Nashville
164,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to a greenhouse visit and Fierte Agricole in Drummondville
165,MPSES,Parliamentary Secretary Assistant,Michel Antoine Renaud,Parliamentary Secretary to the annual general meeting of La Coop Federee
166,MPSES,Communications Advisor,Oliver Anderson,Minister at the Ontario Outreach   Organics announcement and round table
167,MPSES,Legislative Assistant  Policy Advisor,Wallace McLean,the Atlantic Growth Strategy Meeting
168,MPSES,Policy Advisor,Alison Porter,Roundtable on Comprehensive and Progressive Agreement for Trans Pacific Partnership with Agriculture Stakeholders
169,MPSES,Director of Communications,Guy Gallant,Minister to the American Farm Bureau Federation Annual Convention in Nashville  Tenessee
170,MPSES,Minister,Lawrence MacAulay,Ministerial Mission to Boston Seafood Expo North America
171,MPSES,Minister,Lawrence MacAulay,Swearing in of the new Commissioner of the Northwest Territories
172,MPSES,Driver,Michel Gendreau,Pick up the Minister from her riding  to bring to Ottawa and return in the evening
173,MPSES,Minister ,Marie Claude Bibeau,Speak at the Congres de l Union des producteurs agricoles and meet with the Minister of Agriculture  Fisheries and Food
174,MPSES,Minister ,Marie Claude Bibeau,Canadian Western Agribition
175,MPSES,Chief of Staff,Alison Porter,Accompany the Minister for the Canadian Western Agribition
176,MPSES,Driver,Michel Gendreau,Drive the Minister to her riding from Ottawa
177,MPSES,Driver,Michel Gendreau,Drive the Minister from her riding to the Montreal airport for her flight to Regina
178,MPSES,Driver,Michel Gendreau,Drive the Minister to her riding from Ottawa
179,MPSES,Driver,Michel Gendreau,Drive the Minister from her riding to Ottawa
180,MPSES,Driver,Michel Gendreau,Drive the Minister to her riding from Ottawa
181,MPSES,Driver,Michel Gendreau,Drive the Minister from her riding to Ottawa
182,MPSES,Driver,Michel Gendreau,Drive the Minister to her riding from Ottawa
183,MPSES,Driver,Michel Gendreau,Drive the Minister from her riding to Ottawa
184,MPSES,Driver,Michel Gendreau,Drive the Minister to her riding from Ottawa
185,MPSES,Acting Driver,Emile McKay,Drive the Minister from her riding to an outreach meeting in St Hyacinthe and then to Ottawa
186,MPSES,Director of Parliamentary Affairs,Michel Antoine Renaud,Accompany the Minister to the Congres de l Union des producteurs agricoles and a bilat with the Minister of Agiculture  Fisheries and Food
187,MPSES,Chief of Staff,Alison Porter,Accompanied the Minister at the Cabinet Retreat
188,MPSES,Chief of Staff,Alison Porter,a meeting and a strategic planning session with the Minister
189,MPSES,Special Assistant,Jonathan Poirier ,Accompanied the Minister to various meetings with stakeholders
190,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa and to Montreal Airport for a flight to Winnipeg
191,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa
192,MPSES,Driver,Michel Gendreau,Drove the Minister from her riding to Ottawa
193,MPSES,Driver,Michel Gendreau,Drove the Minister from her riding to Ottawa
194,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa
195,MPSES,Driver,Michel Gendreau,Drove the Minister from her riding to Ottawa
196,MPSES,Parliamentary Secretary,Neil Ellis,Chicken Farmers of Canada Annual General Meeting
197,MPSES,Parliamentary Secretary Assistant,Jean Sebastien Comeau,Accompanied the Parliamentary Secretary to the Chicken Farmers of Canada Annual General Meeting
198,MPSES,Minister ,Marie Claude Bibeau,an outreach and various meetings with stakeholders 
199,MPSES,Minister ,Marie Claude Bibeau,Cabinet Retreat 
200,MPSES,Minister ,Marie Claude Bibeau,Crop Connect and meet with various stakeholders 
201,MPSES,Minister ,Marie Claude Bibeau,United States Department of Agriculture s Agricultural Outlook Forum 
202,MPSES,Senior Advisor,Abed Harb ,Accompanied the Minister to Crop Connect and to meet with various stakeholders 
203,MPSES,Chief of Staff,Alison Porter,Accompanied the Minister to the United States Department of Agriculture s Agricultural Outlook Forum 
204,MPSES,Operations Manager,Daniel Turner ,Accompanied the Minister to outreach meetings 
205,MPSES,Operations Manager,Daniel Turner ,Accompanied the Minister to a communications briefing 
