ref_id,disclosure_group,title,name,purpose
206,MPSES,Press Secretary,Jean Sebastien Comeau,Accompanied the Minister to a communications briefing 
207,MPSES,Press Secretary,Jean Sebastien Comeau,Accompanied the Minister to an outreach and various meetings with stakeholders 
208,MPSES,Director of Policy,Jeremy Gauthier,a meeting and a strategic planning session with the Minister and Chief of Staff 
209,MPSES,Director of Policy,Jeremy Gauthier,Accompanied the Minister to the United States Department of Agriculture s Agricultural Outlook Forum 
210,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa 
211,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa 
212,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa 
213,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa 
214,MPSES,Driver,Michel Gendreau,Drove the Minister from her riding to Montreal Airport for a flight to Halifax 
215,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Montreal airport 
216,MPSES,Driver,Michel Gendreau,Drove the Minister from her riding to Ottawa 
217,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa and back 
218,MPSES,Social Media Manager,Mona Sebbane,Accompanied the Minister to a communications briefing 
219,MPSES,Director of Communications,Oliver Anderson,Accompanied the Minister to Crop Connect and to meet with various stakeholders 
220,MPSES,Director of Communications,Oliver Anderson,Accompanied the Minister to a communications briefing 
221,MPSES,Policy Advisor,Pearson Croney Clark,Accompanied the Minister to an outreach and various meetings with stakeholders 
222,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa
223,MPSES,Driver,Michel Gendreau,Drove the Minister from her riding to Ottawa
224,MPSES,Driver,Michel Gendreau,Drove the Minister from her riding to Ottawa
225,MPSES,Driver,Michel Gendreau,Drove the Minister to her riding from Ottawa
226,MPSES,Minister,Marie Claude Bibeau,a Western Outreach 
227,MPSES,Minister,Marie Claude Bibeau,an Outreach in Quebec; announcement on drought; visit of the Agriculture and Agri Food Research Station and Canadian Food Inspection Agency laboratory in St Hyacinthe
228,MPSES,Minister,Marie Claude Bibeau,To meet local farmers and visit a seniors home
229,MPSES,Minister,Marie Claude Bibeau,To meet with Canola Stakeholders
230,MPSES,Minister,Marie Claude Bibeau,an Outreach in New Brunswick and Ontario
231,MPSES,Minister,Marie Claude Bibeau,the G20 Niigata Agricultural Ministers  meeting in Japan  followed by an outreach
232,MPSES,Minister,Marie Claude Bibeau,To make an announcement in Montreal and attend an event in Drummondville
233,MPSES,Chief of Staff,Alison Porter,Minister to meet with Canola Stakeholders
234,MPSES,Chief of Staff,Alison Porter,Minister to the G20 Niigata Agriculture Ministers  meeting
235,MPSES,Director of Policy,Daniel Lussier,Minister to a meeting in Montreal
236,MPSES,Special Assistant,Jean Sebastien Comeau,Parliamentary Secretary to the Annual General Meeting of the Producteurs de Volailles du Quebec and the  Annual General Meeting of the Producteurs laitiers du Quebec
237,MPSES,Special Assistant,Jean Sebastien Comeau,Minister to the New Brunswick Outreach
238,MPSES,Special Assistant,Jean Sebastien Comeau,Parliamentary Secretary to SIAL  Salon International de l alimentation 
239,MPSES,Special Assistant,Jean Sebastien Comeau,Parliamentary Secretary to the Rendez vous Plaisirs Mara ichers event
240,MPSES,Special Assistant,Jean Sebastien Comeau,Parliamentary Secretary to meet with the Producteurs et Productrices acericoles du Quebec
241,MPSES,Press Secretary,Justine Lesage,Minister on a Western Outreach 
242,MPSES,Press Secretary,Justine Lesage,Minister for announcements in Drummondville and the Grain Farmers Conference
243,MPSES,Press Secretary,Justine Lesage,Minister to meet with Canola Stakeholders
244,MPSES,Press Secretary,Justine Lesage,Minister for an announcement at the Conseil des industriels laitiers du Quebecs annual general meeting 
245,MPSES,Press Secretary,Justine Lesage,Minister to the New Brunswick and Ontario Outreach
246,MPSES,Press Secretary,Justine Lesage,Minister to the G20 Niigata Agriculture Ministers  Meeting
247,MPSES,Press Secretary,Justine Lesage,Minister for an announcement and meeting with Minister for Poultry meetings and a meeting with the Federation de la releve agricole du Quebec
248,MPSES,Press Secretary,Justine Lesage,Minister to the Forum SAM 2019 and the annual meeting of the Politique bioalimentation partners
249,MPSES,Director of Parliamentary Affairs,Matthew Mann,Cancelled
250,MPSES,Driver,Michel Gendreau,To pick up the Minister from Sherbrooke and drive her to Ottawa
251,MPSES,Driver,Michel Gendreau,To drive the Minister to Sherbrooke
252,MPSES,Driver,Michel Gendreau,To pick up the Minister from Sherbrooke and drive her to Ottawa
253,MPSES,Driver,Michel Gendreau,To pick up the Minister from Sherbrooke and drive her to Napanee to meet with local farmers and visit a seniors home
254,MPSES,Driver,Michel Gendreau,To drive the Minister to attend announcements in Sherbrooke and Drummondville  visit senior homes and the Grain Farmers Conference  
255,MPSES,Driver,Michel Gendreau,To pick up the Minister from Sherbrooke and drive her to Ottawa
256,MPSES,Driver,Michel Gendreau,To pick up the Minister from Montreal and drive her to Ottawa
257,MPSES,Driver,Michel Gendreau,To drive the Minister to Sherbrooke
258,MPSES,Driver,Michel Gendreau,To pick up the Minister from Sherbrooke and drive her to Ottawa
259,MPSES,Driver,Michel Gendreau,To drive the Minister to Sherbrooke
260,MPSES,Driver,Michel Gendreau,To pick up the Minister from Sherbrooke and drive her to Ottawa
261,MPSES,Driver,Michel Gendreau,To pick up the Minister from Sherbrooke and drive her to Ottawa
262,MPSES,Driver,Michel Gendreau,Drive the Minister from her riding to Ottawa
263,MPSES,Driver,Michel Gendreau,Drive the Minister to her riding from Ottawa
264,MPSES,Driver,Michel Gendreau,Drive the Minister to her riding from Ottawa
265,MPSES,Driver,Michel Gendreau,Drive the Minister from her riding to Ottawa
266,SLE,Chief Executive Officer,Philip Rizcallah,meeting with Saskatchewan Provincial Government
267,SLE,Chair,Berube or  Paul Claude,Board members meeting
268,SLE,Vice Chair,Reid or  Mary,Board members meeting
269,SLE,Board Of Directors,McLaughlin or  Joseph,Board members meeting
270,SLE,Board Of Directors ,Haan or  Maureen,Board members meeting
271,SLE,Board Of Directors,Hartin or  Penny ,Board members meeting
272,SLE,Board Of Directors,Earle or  Kory,Board members meeting
273,SLE,Board Of Directors,Ringaert or  Laurie,Board members meeting
274,SLE,Board Of Directors,Khedr or  Rabia,Board members meeting
275,SLE,Chief Executive Officer,Rizcallah or  Philip,Board members meeting
276,SLE,Chair,Berube or  Paul Claude,Meeting with Chief Executive Officer of Accessibility Stadards Canada
277,SLE,Chair,Berube or  Paul Claude,Meeting with Chief Executive Officer and Staff of of Accessibility Stadards Canada
278,SLE,Chief Executive Officer,Rizcallah or  Philip,Meetings with various Stakeholders
279,SLE,Chief Executive Officer,Rizcallah or  Philip,Canadian Accessibility Standards Development Organization business meetings
280,SLE,Chief Executive Officer,Rizcallah or  Philip,meeting with Chair and Chief Operating Officer
281,SLE,Chief Executive Officer,Rizcallah or  Philip,meeting with Chair
282,SLE,Chair,Berube or  Paul Claude,meeting with Canadian Accessibility Standards Development Organization Chief Executive Officer and Vice chair
283,SLE,Chair,Berube or  Paul Claude,Physical presence required for Canadian Accessibility Standards Development Organization board members meeting
284,SLE,Vice Chair,Reid or  Mary,meeting with Canadian Accessibility Standards Development Organization Chief Executive Officer and Chair
285,SLE,Vice Chair,Reid or  Mary,meeting with Canadian Accessibility Standards Development Organization Chief Executive Officer
286,SLE,Board Of Directors,Adair or  William,Physical presence required for Canadian Accessibility Standards Development Organization board members meeting
287,SLE,Chief Executive Officer,Rizcallah or  Philip,Meeting with Government of Quebec 
288,SLE,Chief Executive Officer,Rizcallah or  Philip,Meeting with the Office des personnes handicapees du Quebec
289,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meetings in Atlantic Canada
290,SLE,Chief Executive Officer,Rizcallah or  Philip,Meeting with Legislative Assembly of New Brunswick
291,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meetings in Toronto
292,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meetings in Halifax
293,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meetings in Edmonton
294,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meetings in Victoria and Vancouver
295,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meetings in Moncton
296,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meetings in Toronto
297,SLE,Chief Executive Officer,Rizcallah or  Philip,CACP CIPH Annual Meeting
298,SLE,Chief Executive Officer,Rizcallah or  Philip,Standard and training review
299,SLE,Chair,Berube or  Paul Claude,Meeting with CEO
300,SLE,Chair,Berube or  Paul Claude,Meeting with Vie Autonome
301,SLE,Chair,Berube or  Paul Claude,Meeting with CEO and co Chair
302,SLE,Board Member,McLaughlin or  Joseph,Stakeholder meeting
303,SLE,Vice Chair,Reid or  Mary,Meeting with CEO and Chair
304,SLE,Chief Executive Officer,Rizcallah or  Philip,International conference on Universal Design
305,SLE,Chief Executive Officer,Rizcallah or  Philip,Presenter at International Code Conference
306,SLE,Chief Executive Officer,Rizcallah or  Philip,Board meeting
307,SLE,Vice Chair,Reid or  Mary,Board meeting
308,SLE,Board Member,McLaughlin or  Joseph,Board meeting
309,SLE,Chief Executive Officer,Rizcallah or  Philip,Meeting with stakeholders
310,SLE,Board Member,Hartin or  Penny,Board meeting   APM 
311,SLE,Board Member,Haan or  Maureen,Board meeting   APM 
312,SLE,Chief Executive Officer,Rizcallah or  Philip,Intelligent Cities Summit 
313,SLE,Chief Executive Officer,Rizcallah or  Philip,NSBOA conference 
314,SLE,Chief Executive Officer,Rizcallah or  Philip,BCANDS conference 
315,SLE,Board Member,Kory or  Earle,Board meeting 
316,SLE,Board Member,Kory or  Earle,Board meeting 
317,SLE,Board Member,Hartin or  Penny,Board meeting 
318,SLE,Board Member,McLaughlin or  Joseph,Strategic discussion meeting 
319,SLE,Board Member,McLaughlin or  Joseph,Board meeting 
320,SLE,Board Member,Ringaert or  Laurie,Board meeting and APM 
321,SLE,Chief Executive Officer,Rizcallah or  Philip,Board meeting
322,SLE,Chief Executive Officer,Rizcallah or  Philip,CSA group meeting
323,SLE,Vice Chair,Reid or  Mary,Meeting with CEO
324,SLE,Chief Executive Officer,Rizcallah or  Philip,Meeting with CNIB President
325,SLE,Chief Executive Officer,Rizcallah or  Philip,Meetings
326,SLE,Chief Executive Officer,Rizcallah or  Philip,3 meetings and a funeral
327,SLE,Chief Executive Officer,Rizcallah or  Philip,Board meeting
328,SLE,Chief Executive Officer,Rizcallah or  Philip,Board meeting and meeting with provincial government
329,SLE,Chief Executive Officer,Rizcallah or  Philip,Meetings CSA  ULSE  Trax
330,SLE,Chair,Berube or  Paul Claude,Board meeting
331,SLE,Vice Chair,Reid or  Mary,Board meeting
332,SLE,Board of Directors,Earle or  Kory,Board meeting
333,SLE,Board of Directors,Earle or  Kory,Board meeting
334,SLE,Board of Directors,McLaughlin or  Joseph,Board meeting
335,SLE,Board of Directors,Haan or  Maureen,Board meeting
336,SLE,Board of Directors,Adair or  William,Board meeting
337,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meetings
338,SLE,Chair,Berube or  Paul Claude,Meeting with CEO and VC
339,SLE,Chair,Berube or  Paul Claude,FPT Forum
340,SLE,Chair,Berube or  Paul Claude,Board Meeting
341,SLE,Chair,Berube or  Paul Claude,Presentation to BoC
342,SLE,Vice Chair,Reid or  Mary,Board Meeting
343,SLE,Board of Directors,Adair or  William,Board Meeting
344,SLE,Board of Directors,Adair or  William,Board Meeting
345,SLE,Chief Executive Officer,Rizcallah or  Philip,Portland conference
346,SLE,Chief Executive Officer,Rizcallah or  Philip,Meetings CFIAT PR
347,SLE,Chief Executive Officer,Rizcallah or  Philip,Toronto meeting
348,SLE,Chair,Berube or  Paul Claude,Board meeting
349,SLE,Chief Executive Officer,Rizcallah or  Philip,Board meeting
350,SLE,Chief Executive Officer,Rizcallah or  Philip,Vancouver conference
351,SLE,Chief Executive Officer,Rizcallah or  Philip,CCRW ULC event
352,SLE,Board Member,Haan or  Maureen,Meeting in Winnipeg
353,SLE,Chief Executive Officer,Rizcallah or  Philip,Cophan Conference
354,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meeting
355,SLE,Chief Executive Officer,Rizcallah or  Philip,Stakeholder meeting
356,SLE,Chief Executive Officer,Rizcallah or  Philip,Board meeting
357,SLE,Chief Executive Officer,Rizcallah or  Philip,Operational activities
358,SLE,Chief Executive Officer,Rizcallah or  Philip,Operational activities
359,SLE,Executive Director and General Counsel  Secretariat to the Public Service Labour Relations and Employment Board,Virginia Adamson,Visit Canadian Industrial relation Board s regional offices
360,SLE,Executive Director and General Counsel  Secretariat to the Public Service Labour Relations and Employment Board,Virginia Adamson,a meeting of the Association of Labour Relations Agencies 
361,SLE,Chairperson  Canadian International Trade Tribunal ,Bedard or  Jean,38th Annual International Trade Update 
362,SLE,Chairperson  Canadian International Trade Tribunal ,Bedard or  Jean,Chairperson s forum in Ottawa
363,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Bishop or  Delphine,Attend a meeting with  Executive Directors 
364,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Bishop or  Delphine,Attend a meeting with  Executive Directors 
365,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Bishop or  Delphine,Attend a meeting with  Executive Directors 
366,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Bishop or  Delphine,Attend a meeting with the Senior Project manager
367,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Bishop or  Delphine,Attend a Budget Allocation meeting
368,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Bishop or  Delphine,CCPERB Board meeting
369,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Bishop or  Delphine,Classification Committee meeting
370,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Bishop or  Delphine,Attend a meeting with  Executive Directors 
371,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Attend a Regional Directors Meeting
372,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,the Association of Labour Relations Agencies meeting
373,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file   31022 C
374,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file   31364 C
375,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file   31685   31696 C
376,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Attend a presentation 
377,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file   31670 C   31671 C
378,SLE,Chairperson  Social Security Tribunal,Murielle or  Brazeau,training
379,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Donald or  Buckingham,Hearing file  1912
380,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Donald or  Buckingham,Attend a meeting at the Canadian Transportation Agency
381,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,Operations Sub committee 
382,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Donald or  Buckingham,Hearing file  1856   1857    1858
383,SLE,Executive Director and General Counsel  Secretariat to the Canadian International Trade Tribunal,Covelli or  Nick,38th Annual International Trade Update 
384,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board  ,Sylvie or  Guilbert,Attend a regional staff meeting
385,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board  ,Sylvie or  Guilbert,a meeting of the Association of Labour Relations Agencies 
386,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Ingram or  Sharilyn,Attend a preparation day for the CCPERB board meeting
387,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Ingram or  Sharilyn,CCPERB meeting
388,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Ingram or  Sharilyn,Chairperson s forum in Ottawa
389,SLE,Chairperson  Canadian Human Rights Tribunal        ,Thomas or  David,Hearing file   T2171 4516
390,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  42147
391,SLE,Executive Director and General Counsel  Secretariat to the Public Service Labour Relations and Employment Board,Virginia Adamson,the Annual Symposium of the Council of Canadian Administrative Tribunals
392,SLE,Chairperson  Canadian International Trade Tribunal ,Jean Bedard,Meeting with the United States Court of International trade
393,SLE,Chairperson  Canadian International Trade Tribunal ,Jean Bedard,Presentation to the Seoul International Forum on Trade Remedies 2017 and Meeting of heads of trade remedy investigative agencies
394,SLE,Chairperson  Canadian International Trade Tribunal ,Jean Bedard,the Annual Symposium of the Council of Canadian Administrative Tribunals
395,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,a conference by the MIT Open Documentary Lab and Phi Centre
396,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a Senior Management Committee meeting
397,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,the National Academy of Arbitrators  Annual Meeting
398,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend meeting with senior management
399,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Interview
400,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Interview
401,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a Senior Management Committee meeting
402,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  32141 C
403,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,a meeting of the Association of Labour Relations Agencies 
404,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  31936 C
405,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,Hearing file  1908
406,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,the Annual Symposium of the Council of Canadian Administrative Tribunals
407,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Donald or  Buckingham,the Annual Symposium of the Council of Canadian Administrative Tribunals
408,SLE,Chairperson  Public Service Labour Relations and Employment Board Tribunal,Catherine Ebbs,a meeting of the Association of Labour Relations Agencies 
409,SLE,Chairperson  Public Service Labour Relations and Employment Board Tribunal,Catherine Ebbs,the Annual Symposium of the Council of Canadian Administrative Tribunals
410,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,CCPERB meeting
411,SLE,Chairperson  Canada Industrial Relations Board     ,Brazeau or  Ginette,Hearing file  31843 C
412,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,celebration of the 150th anniversary of Canadian Confederation and the Ministerial Conference on the Canadian Francophony
413,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,Attend a preparation day for the CCPERB board meeting
414,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,CCPERB meeting
415,SLE,Chief Administrator  Administrative Tribunals Support Service of Canada,Marie France Pelletier,the Annual Symposium of the Council of Canadian Administrative Tribunals
416,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Canadian Bar Association annual meeting
417,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,File  T1999 7913
418,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,the Annual Symposium of the Council of Canadian Administrative Tribunals
419,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Meeting with stakeholders
420,SLE,Chairperson  Canadian International Trade Tribunal ,Jean Bedard,Attend a world custom Law Meeting
421,SLE,Chairperson  Canadian International Trade Tribunal ,Jean Bedard,Visit a plant for an investigation in a file of the CITT
422,SLE,Chairperson  Canadian Human Rights Tribunal        ,Thomas or  David,Mediation file T2146
423,SLE, Executive Director  Secretariat to the Canadian Cultural Property Export Review Board  ,Bishop or  Delphine,Attend a meeting of the Operations Sub Committee
424,SLE, Executive Director  Secretariat to the Canadian Cultural Property Export Review Board  ,Bishop or  Delphine,Attend a meeting with the Deputy Chief Administrator and Executive Directors 
425,SLE, Executive Director  Secretariat to the Canadian Cultural Property Export Review Board  ,Bishop or  Delphine,CCPERB meeting
426,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,Toronto Art Fair
427,SLE, Executive Director  Secretariat to the Canadian Cultural Property Export Review Board  ,Bishop or  Delphine,Attend a Senior Management of ATSSC meeting
428,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,Attend a meeting with a representant at the National Art Gallery of Canada
429,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,Participate in the prep day meetings
430,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  42544
431,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,CCPERB meeting
432,SLE,Chairperson  Canada Industrial Relations Board     ,Brazeau or  Ginette,the Association of Labour Relations Agencies Executive Committee meeting
433,SLE,Chairperson  Canada Industrial Relations Board     ,Brazeau or  Ginette,Hearing file 31794 C
434,SLE,Chairperson  Canada Industrial Relations Board     ,Brazeau or  Ginette,Hearing file 31573 C
435,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,Hearing CART 1849
436,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,American National Association of Administrative Law Judiciary 
437,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,Hearing CART 1879
438,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,Hearing CART 1871 1872 1873
439,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,Attend La Biennale de Montreal 2016 at the Musee d art contemporain of Montreal
440,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,Society of Ontario Adjucators and Regulators Annual Conference in Toronto and attend the conference on Aspects of Compliance and Oversight by administrative tribunals in Halifax
441,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board  ,Guilbert or  Sylvie,the Association of Labour Relations Agencies Conference
442,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board  ,Guilbert or  Sylvie,Meeting with the Vancouver regional staff
443,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,board meeting  a presentation at the Canadian Museum of History and a visit at the National Gallery of Canada
444,SLE,Chief Administrator  Administrative Tribunals Support Service of Canada      ,Pelletier or  Marie France,Visit the CIRB regional office in Vancouver  attend a CHRT hearing in Victoria and meet with British Columbia government representative and tribunal officials
445,SLE,Chairperson  Canadian Human Rights Tribunal        ,Thomas or  David,Mediation file T1823
446,SLE,Executive Director and General Counsel  Secretariat to the Public Service Labour Relations and Employment Board,Adamson or  Virginia ,the Association of Labour Relations Agencies meeting
447,SLE,Chairperson  Canadian International Trade Tribunal ,Bedard or  Jean,19th Judicial Conference of the United States Court of International Trade 
448,SLE,Chairperson  Canadian International Trade Tribunal ,Bedard or  Jean,Hearing file  NQ 2016 002   GC 2016 001
449,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,Strategic Planning Retreat and visit Contemporary Art Show in Toronto 
450,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,Summit on the Value of Library  Archives and Museums in a Changing World 
451,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,opening of Hornstein Pavillon at the Montreal Museum of Fine Arts
452,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  42594
453,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,media event of Roue Collection at the Canadian Museum of History
454,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,Attend a Senior Management Committee meeting
455,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,BISHOP or  Delphine,Opening of the Canadian Photography Institute at the National Gallery of Canada
456,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,a meeting with the Art Gallery of Hamilton
457,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,strategic planning retreat in Toronto
458,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,Chairperson s forum in Ottawa
459,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,Attend meeting with Beaverbrook Art Gallery  Confederation Center Art Gallery and Art Gallery of Nova Scotia
