ref_id,disclosure_group,title,name,purpose
460,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,Attend a preparation day for the CCPERB board meeting
461,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,Ontario Association of Art Galleries workshop
462,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,Summit on the Value of Library  Archives and Museums in a Changing world
463,SLE,Chairperson  Canadian Cultural Property Export Review Board    ,BLOOM or  Glen A,CCPERB meeting
464,SLE,Chairperson  Canada Industrial Relations Board     ,Brazeau or  Ginette,Meeting with Labour Canada
465,SLE,Chairperson  Canada Industrial Relations Board     ,Brazeau or  Ginette,National Labour Arbitration Competition in Toronto
466,SLE,Chairperson  Canada Industrial Relations Board     ,Brazeau or  Ginette,Hearing file  31946 C
467,SLE,Chairperson  Canada Industrial Relations Board     ,Brazeau or  Ginette,Hearing file  31946C
468,SLE,Chairperson  Social Security Tribunal,Brazeau or  Murielle,Meeting with stakeholders
469,SLE,Chairperson  Social Security Tribunal,Brazeau or  Murielle,training
470,SLE,Chairperson  Social Security Tribunal,Brazeau or  Murielle,training
471,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,University of Ottawa faculty of Law meeting
472,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,a meeting of Council of Federal Tribunal Chairs in Gatineau
473,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,Hearing file   1884
474,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Buckingham or  Donald,Hearing files  1907  1910
475,SLE, Chairperson  Public Service Labour Relations and Employment Board Tribunal,Ebbs or  Catherine,Hearing file  2015 9651
476,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  42371
477,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board  ,Guilbert or  Sylvie,Visit the Regional Office of Winnipeg and meeting with the new Acting Regional Director in Vancouver
478,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Ingram or  Sharilyn,Attend an orientation session 
479,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Ingram or  Sharilyn,Chair Orientation and Retreat 
480,SLE,Chairperson  Canadian Human Rights Tribunal        ,Thomas or  David,United Nations Forum on Business and Human Rights
481,SLE,Chairperson  Canadian Human Rights Tribunal        ,Thomas or  David,Hearing files   T2168 4216   T2169 4316
482,SLE,Chairperson  Canadian International Trade Tribunal ,Jean Bedard,Attend and speak to the World Customs Law Meeting 
483,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,the International Industrial Relations Conference 
484,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,a meeting of the Association of Labour Relations Agencies 
485,SLE,Executive Director and General Counsel  Secretariat to the Public Service Labour Relations and Employment Board,Virginia Adamson,the annual meeting of Labour Board Chairs and Administrators
486,SLE,Executive Director and General Counsel  Secretariat to the Public Service Labour Relations and Employment Board,Virginia Adamson,a meeting of the Association of Labour Relations Agencies 
487,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Luc Belanger,Meet with the new member of CART
488,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Luc Belanger,Training of the new member of CART
489,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,board meeting and the Tour new Canadian  Indigenous Galleries
490,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,CCPERB meeting
491,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,the annual meeting of Labour Board Chairs and Administrators
492,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  42594
493,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Attendance and participartion at the 2017  Internationl Agencies Forum
494,SLE,Chairperson  Social Security Tribunal  ,Murielle Brazeau,Meeting with stakeholders
495,SLE,Director General and CIO Information Services and Solutions  and Executive Director  Secretariat to the Specific Claims Tribunal ,Stuart Campbell,Meeting with the Chair of SCT
496,SLE,Director General and CIO Information Services and Solutions  and Executive Director  Secretariat to the Specific Claims Tribunal ,Stuart Campbell,the Court Technology Conference 
497,SLE,Chairperson  Public Service Labour Relations and Employment Board Tribunal,Catherine Ebbs,the annual meeting of Labour Board Chairs and Administrators
498,SLE,Chairperson  Public Service Labour Relations and Employment Board Tribunal,Catherine Ebbs,Hearing file  561 02 777
499,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Mediation file  T2212 3417
500,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,a meeting of the Association of Labour Relations Agencies 
501,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,Preparation for the annual meeting of Labour Board Chairs and Administrators
502,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,the annual meeting of Labour Board Chairs and Administrators
503,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,Regional Interviews
504,SLE,Chief Administrator  Administrative Tribunals Support Service of Canada,Marie France Pelletier, Meetings with regional office and  external stakeholders
505,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,a meeting of the Association of Labour Relations Agencies 
506,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,Participate an On camera interview at CBC Hamilton
507,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,preparation day of  the CCPERB meeting and attend meeting selection process for new member
508,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,CCPERB meeting 
509,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,the CCPERB selection process
510,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,the Toronto Art Fair
511,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,the orientation session for heads of federal administrative tribunals
512,SLE,Executive Director and Registrar  Secretariat to the Canadian Human Rights Tribunal,Amal Picard,Participate at the advance Alternative Dispute Resolution Workshop
513,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Mcgill University Outreach
514,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Speaking Engagement in the Office of the Ombudsmen
515,SLE,Chairperson  Canadian International Trade Tribunal ,Jean Bedard,Assist to a presentation   La justice sanspapier  oui c est possible
516,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Luc Belanger,Hearing file CART 1867
517,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Luc Belanger,Hearing file CART 1947
518,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Luc Belanger,Hearing file CART 1959   CART 1949
519,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Luc Belanger,Attend a Lafortune Group presentation and meetings 
520,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a meeting
521,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,a meeting with executive director
522,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a meeting
523,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a meeting
524,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a meeting
525,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a Senior Management Committee meeting
526,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a Senior Management Committee meeting
527,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,a meeting with an executive director
528,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Meeting at National Gallery of Canada
529,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,training
530,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Board Meeting
531,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Board Meeting
532,SLE,Executive Director   Registrar  Secretariats to the Competition Tribunal and the Public Servants Disclosure Protection Tribunal ,Rachel Boyer,Attend meeting at Lexum
533,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  32222 C   32357 C
534,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  31936 C
535,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,To participate at the annual Mathews Dinsdale National Labour Arbitration Competition
536,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,a Welcome Introduction meeting
537,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  31573 C
538,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Case management meeting in hearing file  32428   32467
539,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,Celebration of Life for Grant Sinclair
540,SLE,Chairperson  Public Service Labour Relations and Employment Board Tribunal,Catherine Ebbs,Hearing file  561 02 00777
541,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,Attendance and participartion at the 2017  International Agencies Forum
542,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,Interviews
543,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,preparation day of  the CCPERB meeting and participate in training
544,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,CCPERB meeting 
545,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,CCPERB Orientation Meeting
546,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Mediation file  T2206 2817
547,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Mediation file  T2223 4517 
548,SLE,Executive Director and General Counsel  Secretariat to the Public Service Labour Relations and Employment Board,Virginia Adamson,a meeting of the Association of Labour Relations Agencies 
549,SLE,Chairperson  Canadian International Trade Tribunal ,Jean Bedard,Outreach at Queen s University
550,SLE,Chairperson  Canada Agricultural Review Tribunal       ,Luc Belanger,Hearing files    CART 1921 and CART 1951
551,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,CCPERB Orientation Meeting
552,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,CCPERB meeting
553,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,CCPERB meeting
554,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,CCPERB meeting
555,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Visit at the Canadian Museum of History
556,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,CCPERB meeting
557,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a Senior Management Committee meeting
558,SLE,Acting Director General  Corporate Services and CFO ,Christopher Bucar,DCFO information session 
559,SLE,Acting Director General  Corporate Services and CFO ,Christopher Bucar,DCFO ADM meeting
560,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,a meeting of the Association of Labour Relations Agencies 
561,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Meeting concerning new powers to be conferred under Bill C 44
562,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file  31573 C
563,SLE,Executive Director Canadian Cultural Property Export Review Board,Kim or  Mijin,Toronto Art Fair
564,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,the 2018 Teamsters General Meeting 
565,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,Hearing file   32564 C
566,SLE,Chairperson  Canada Industrial Relations Board     ,Ginette Brazeau,National Academy of Arbitrators  Annual Meeting
567,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,Introduction and training of new regional director
568,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,Staffing competition 
569,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Sylvie Guilbert,Recruitment and staffing process
570,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,CCPERB meeting
571,SLE,Chairperson  Canadian Cultural Property Export Review Board        ,Sharilyn Ingram,preparation day of  the CCPERB meeting
572,SLE,Chief Administrator  Administrative Tribunals Support Service of Canada,Marie France Pelletier,"To participate as a panelist at the ""Six Minute Administrative Lawyer 2018"" and visit the CIRB office"
573,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Participate at the Leadership and Management workshop  Dealing with difficult people 
574,SLE,Chairperson  Canadian Human Rights Tribunal        ,David Thomas ,Queen s University outreach
575,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,Hearing file    CART 1894  Hamelin
576,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,Reimbursement for stamps
577,SLE,Executive Director  Secretariat to the Canadian Cultural Property Export Review Board    ,Delphine Bishop,Attend a meeting with Anick Pelletier
578,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,a meeting of the Association of Labour Relations Agencies 
579,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Hearing file   32417 32471  32489
580,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,Hearing in Vancouver
581,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,National Academy of Arbitrators  Annual Meeting
582,SLE,Executive Director and General Counsel  Secretariat to the Canadian International Trade Tribunal,Covelli or  Nick,International Forum on Trade Remedies 2018
583,SLE,Chairperson  Federal Public Service Labour Relations and Employment Board Tribunal,Ebbs or  Catherine,Attend a Hearing file 566 02 11835  JEDDRY 
584,SLE,Vice Chairperson  Secretariat to the Social Security Tribunal,Giguere or  Guy ,Council of Canadian Administrative Tribunals Symposium
585,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Guilbert or  Sylvie ,a conference of the Association of Labour Relations Agencies  ALRA 
586,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Guilbert or  Sylvie ,PM MCO Competition 
587,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Guilbert or  Sylvie ,Public Service Commission Exchange
588,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,CCPERB ED Selection Proccess
589,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,preparation day of the CCPERB meeting and to attend the Chairperson s Forum 
590,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,CCPERB Board meeting 
591,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,CCPERB Orientation Meeting with a new member
592,SLE,Executive Director to the Secretariat to the Specific Claims Tribunal ,Mathieu or  Michel,the Income Security Engagement Working Group Meeting and a key stakeholders meeting
593,SLE,Executive Director to the Secretariat to the Specific Claims Tribunal ,Mathieu or  Michel,Attend Meeting with representatives from the Stitt Feld Handy Group to explore options in ADR practices for SST
594,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,Mediation file T2249 0418
595,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,"Annual Canadian Conference on ""Droit et politiques agroalimentaires"""
596,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,the 2018 Conference of Labour Board Chairs and Administrators
597,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,2019 International Forum
598,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,ALRA Fall Planning Meeting
599,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,"Preside over Case Management Meeting ""32524 C"""
600,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Presentation to Chinese Delegation
601,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Hearing in Halifax
602,SLE,Acting Executive Director to the Secretariat to the Specific Claims Tribunal ,Mathieu or  Michel,Stakeholder Meetings
603,SLE,Chairperson  Federal Public Service Labour Relations and Employment Board Tribunal,Ebbs or  Catherine,the conference of the Association of Labour Relations Agencies 
604,SLE,Executive Director and General Counsel  Secretariat to the Canada Industrial Relations Board,Guilbert or  Sylvie ,Interviews for Industrial Relations Officers
605,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,CCPERB Board Meeting
606,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,Toronto Art Fair
607,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,Toronto Art Fair
608,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,Meeting with PCH Deputy Minister
609,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,Attend Certificate in Adjudication
610,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,Prep day meeting
611,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,Mediation T2267 2218
612,SLE,Executive Director and General Counsel  Public Service Labour Relations and Employment Board Tribunal,Adamson or  Virginia,the annual meeting of Labour Board Chairs and Administrators
613,SLE,Executive Director and General Counsel  Public Service Labour Relations and Employment Board Tribunal,Adamson or  Virginia,a planning meeting for the Association of Labour Relations Agencies 
614,SLE,Executive Director and General Counsel  Public Service Labour Relations and Employment Board Tribunal,Adamson or  Virginia,the 2018 Conference of Labour Board Chairs and Administrators
615,SLE,Chairperson  Social Security Tribunal of Canada,Aterman or  Paul,Society of Ontario Adjucators and Regulators  SOAR  conference
616,SLE,Chairperson  Canadian International Trade Tribunal,Bedard or  Jean,World Custom Law Meeting 
617,SLE,Chairperson  Canadian International Trade Tribunal,Bedard or  Jean,Presentation to York University Students in Masters in Public and International Affairs 
618,SLE,Chairperson  Canadian International Trade Tribunal,Bedard or  Jean,IBA Antitrust   International Trade and Customs Laws Committees
619,SLE,Acting Director General  Corporate Services and Chief Financial Officer,Bucar or  Christopher,Next Gen DCFO Training Session
620,SLE,Executive Director Canadian Cultural Property Export Review Board,Kim or  Mijin,CCPERB meeting 
621,SLE,Executive Director Canadian Cultural Property Export Review Board,Kim or  Mijin,Attend eleven meetings 
622,SLE,Executive Director Canadian Cultural Property Export Review Board,Kim or  Mijin,Attend a meeting 
623,SLE,Executive Director and General Counsel  Public Service Labour Relations and Employment Board Tribunal     ,Adamson or  Virginia,ALRA s Second Planning Session
624,SLE,Chairperson  Social Security Tribunal of Canada,Aterman or  Paul,Reunion regionale et session de formation pour les membres du GEC   Division generale
625,SLE,Chairperson  Social Security Tribunal of Canada,Aterman or  Paul,"Event on  The Rule of Law  Is it at risk? The Role of Courts  Human Rights Commissions   Administrative Bodies in Preserving the Rule of Law"""
626,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,a hearing for file Way Alta CART 1988
627,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,For the hearing CART 1896 Transvol
628,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,Osgood Advanced Decision Writing training 
629,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Presentation to the Canadian Bar Association 
630,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Hearing for file 32922 c
631,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Hearing  Minute 32011  File 44440
632,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Hearing  Minute 44474  File 23922
633,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Management Meeting with the parties
634,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,LERA NW Chapter Conference
635,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Keynote Speaker Mercer Canada LERN
636,SLE,CFO  Administrative Support Service of Canada,Bucar or  Christopher,Workshop for the Next Generation DCFO program
637,SLE,Acting Executive Director  Social Security Tribunal of Canada,Burnett or  Gilian ,Training   Strategic Planning
638,SLE,Director General and CIO Information Services and Solutions  and Director General  Secretariat to the Specific Claims Tribunal ,Campbell or  Stuart,Meeting with The Honourable Justice Paul Mayer  Member of the Specific Claims Tribunal Secretariat in Montreal and visit an ISST employee at the Secretariat of CIRB
639,SLE,Chairperson  Federal Public Service Labour Relations and Employment Board Tribunal,Ebbs or  Catherine,Hearing   Montreal
640,SLE,Executive Director and General Counsel  Secretariat to the Canadian International Trade Tribunal,Gallo or  Greg,World Trade Organization technical meeting in Geneva
641,SLE,Executive Director  Canadian Industrial Relations Board,Guilbert or  Sylvie,ALRA s Second Planning Session
642,SLE,Executive Director  Canadian Industrial Relations Board,Guilbert or  Sylvie,Meeting with Ginette Brazeau  Registrar and Executives of the ON Labour Relations Board re C 44
643,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,To participate in a meeting at the Art Gallery of Ontario with the Director and Chief Curator 
644,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,an Art and Law seminar 
645,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,Mtl  Meeting with the Conseil de la justice adminitrative du Quebec and KPMG
646,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,Meeting with new CART member   Patricia Farnese
647,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,Hearing for file CART 1924 Golden Ontario Inc 
648,SLE,Chairperson  Canada Agricultural Review Tribunal           ,Belanger or  Luc,Hearing for the Fauteux case
649,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,Hearing File  32869 C   32870 C
650,SLE,Chairperson  Canada Industrial Relations Board ,Brazeau or  Ginette ,National Labour Arbitration Competition
651,SLE,Chairperson  Federal Public Service Labour Relations and Employment Board Tribunal,Ebbs or  Catherine,Annual Meeting of Labour Chairs
652,SLE,Chairperson  Federal Public Service Labour Relations and Employment Board Tribunal,Ebbs or  Catherine,Hearing File  542 02 12 13
653,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,Prep Day Meeting  Chairperson s Forum
654,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,CCPERB Board Meeting
655,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,Meeting
656,SLE,Chairperson  Canadian Cultural Property Export Review Board ,Ingram or  Sharilyn,CCPERB Board Retreat
657,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,Mediation  T2280 3518
658,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,Mediation  T2315 7018
659,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,File   T2317 7218
660,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,Hearing  T2314 6918
661,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,Hearing  T2312 6818
662,SLE,Chairperson  Canadian Human Rights Tribunal ,Thomas or  David,UN Forum on Business and Human Rights
663,SLE,Chairperson  Social Security Tribunal of Canada,Aterman or  Paul,General Division  GD  Ontario Members Regional Training Session
664,SLE,Chairperson  Social Security Tribunal of Canada,Aterman or  Paul,General Division  GD  Quebec Members Regional Training Session
665,SLE,Chairperson  Social Security Tribunal of Canada,Aterman or  Paul,General Division  GD  Atlantic Members Regional Training Session 
666,SLE,Executive Director Canadian Cultural Property Export Review Board,Kim or  Mijin,Parking
667,SLE,Executive Director Canadian Cultural Property Export Review Board,Kim or  Mijin,OLA Super Conference
668,SLE,Executive Director Canadian Cultural Property Export Review Board,Kim or  Mijin,CCPERB Board Retreat
669,SLE,Executive Director and General Counsel  Secretariat to the Canadian International Trade Tribunal,Covelli or  Nick,Australia Anti Dumping Commission Technical Exchange
