City_ID,Year,Month,Time_Leaving_For_Work,Age_Group,Main_Mode_Of_Commuting,Commuting_Duration,Avg_Commuting_Count,Transit_Ridership,Location,Road_Surface_Condition,Accident_Time,Num_Of_Vehicle,Num_Of_Injuries,Num_Of_Minor_Injuries,Num_Of_Major_Injuries,Wheelchair_Accessible,Bikes_Allowed,Traffic_Disruption,Avg_Delay_Time,Incident_Type
3,2021,1,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,1745,"19,89,500", Barlow Trail and 61 Avenue SE ,01   Dry,23:19,1,,,,,,,5,Fire
3,2021,2,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,1080,"19,14,000", Eastbound 16 Avenue after 19 Street NE ,01   Dry,03:10,1,,,,,,,15,Fire
3,2021,3,Between 6 am and 6:59 am,15 to 24 years,Public transit,15 to 29 minutes,65,"22,92,700", Westbound Country Hills Boulevard approaching 14 Street NW ,02   Wet,00:00,1,,,,,,,20,Fire
3,2021,4,Between 6 am and 6:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,5680,"20,46,000", Southbound 14 Street at North Haven Drive NW ,02   Wet,03:49,1,,,,,,,8,Medical
3,2021,5,Between 6 am and 6:59 am,55 to 64 years,Public transit,15 to 29 minutes,105,"19,88,000", 2 Street and 18 Avenue SW ,01   Dry,06:22,1,,,,,,,10,Fire
3,2021,6,Between 6 am and 6:59 am,55 to 64 years,Bicycle,30 to 59 minutes,25,"24,80,000", Eastbound Glenmore Trail east of Blackfoot Trail SE ,01   Dry,20:30,1,,,,,,,12,Motor Vehicle Accident
3,2021,7,Between 8 am and 8:59 am,15 to 24 years,Car and  truck or van,60 minutes and over,55,"26,94,600", Northbound Deerfoot Trail approaching Memorial Drive SE ,06   Ice,10:45,1,1,,,,,,18,Fire
3,2021,8,Between 8 am and 8:59 am,15 to 24 years,Public transit,15 to 29 minutes,105,"27,59,100", Northbound Macleod Trail approaching Lake Fraser Gate SE ,01   Dry,18:32,2,,,,,,,30,Fire
3,2021,9,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,30 to 59 minutes,2495,"34,67,100", Northbound Macleod Trail approaching Lake Fraser Gate SE ,01   Dry,00:00,1,,,,,,,25,Medical
3,2021,10,Between 8 am and 8:59 am,45 to 54 years,Public transit,30 to 59 minutes,130,"33,12,000", Southbound Deerfoot Trail approaching Glenmore Trail SE ,02   Wet,11:34,1,,,,,,,22,Medical
3,2021,11,Between 8 am and 8:59 am,45 to 54 years,Public transit,60 minutes and over,75,"34,13,300", Southbound Deerfoot Trail approaching Glenmore Trail SE ,02   Wet,11:47,2,,,,,,,6,Medical
3,2021,12,Between 8 am and 8:59 am,45 to 54 years,Bicycle,15 to 29 minutes,65,"29,91,400", 32 Avenue and 52 Street NE ,02   Wet,11:44,2,,,,,,,13,Medical
3,2022,1,Between 8 am and 8:59 am,55 to 64 years,Public transit,60 minutes and over,80,"27,97,700", Northbound 52 Street at 61 Avenue SE ,02   Wet,13:30,2,,,,,,,16,Fire
3,2022,2,Between 8 am and 8:59 am,55 to 64 years,Bicycle,15 to 29 minutes,30,"28,83,600", Eastbound Glenmore Trail and Stoney Trail SE ,01   Dry,00:00,1,,,,,,,9,Medical
3,2022,3,Between 8 am and 8:59 am,55 to 64 years,Bicycle,30 to 59 minutes,40,"41,99,500", Westbound Glenmore Trail and Deerfoot Trail SE ,09   Spilled liquid,00:00,1,,,,,,,11,Medical
3,2022,4,Between 9 am and 11:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,2235,"40,04,300", Eastbound Glenmore Trail and Stoney Trail SE ,02   Wet,13:50,1,1,,,,,,14,Fire
3,2022,5,Between 9 am and 11:59 am,15 to 24 years,Public transit,60 minutes and over,215,"44,48,400", Southbound 9 Street and 8 Avenue SW ,02   Wet,14:42,2,,,,,,,17,Medical
3,2022,6,Between 9 am and 11:59 am,15 to 24 years,Bicycle,15 to 29 minutes,35,"44,82,600", Northbound 14 Street and 90 Avenue SW ,09   Spilled liquid,15:56,2,2,2,,,,,28,Medical
3,2022,7,Between 9 am and 11:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,3115,"47,56,900", Northbound Macleod Trail and Lake Fraser Drive SE ,06   Ice,16:51,2,,,,,,,23,Fire
3,2022,8,Between 12 pm and 4:59 am,15 to 24 years,Public transit,60 minutes and over,485,"45,13,200", Northbound Macleod Trail at Lake Fraser Drive SE ,09   Spilled liquid,19:02,2,,,,,,,21,Medical
3,2022,9,Between 12 pm and 4:59 am,15 to 24 years,Bicycle,15 to 29 minutes,80,"60,15,000", Symons Valley Py and 37 Street NW ,09   Spilled liquid,19:30,1,,,,,,,7,Medical
3,2022,10,Between 12 pm and 4:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,3780,"62,91,400", Midlake Boulevard and Bannister Road SE ,06   Ice,19:38,1,,,,,,,12,Medical
3,2022,11,Between 12 pm and 4:59 am,25 to 34 years,Public transit,60 minutes and over,275,"62,91,900", Northbound 53 Street and Crowchild Trail NW ,02   Wet,19:59,2,,,,,,,18,Medical
3,2022,12,Between 12 pm and 4:59 am,25 to 34 years,Bicycle,15 to 29 minutes,60,"62,25,400", Eastbound McKnight Boulevard and 19 Street NE ,06   Ice,20:02,2,1,1,,,,,10,Medical
3,2023,1,Between 12 pm and 4:59 am,25 to 34 years,Bicycle,30 to 59 minutes,20,"69,56,200", Northbound Metis Trail and 88 Avenue NE ,04   Slush,08:25,3,1,,,,,,9,Medical
3,2023,2,Between 12 pm and 4:59 am,35 to 44 years,Car and  truck or van,15 to 29 minutes,4100,"66,31,200", Southbound Deerfoot Trail after Country Hills Blvd NE ,04   Slush,08:36,2,,,,,,,13,Medical
3,2023,3,Between 12 pm and 4:59 am,35 to 44 years,Public transit,60 minutes and over,210,"74,72,700", Airport Trail and Metis Trail NE ,04   Slush,08:07,2,,,,,,,16,Medical
3,2023,4,Between 12 pm and 4:59 am,35 to 44 years,Bicycle,15 to 29 minutes,20,"70,05,300", Southbound Strathcona Boulevard and Strathcona Drive SW ,01   Dry,09:14,2,,,,,,,25,Fire
3,2023,5,Between 12 pm and 4:59 am,35 to 44 years,Bicycle,30 to 59 minutes,15,"75,01,500", 5 Street and Glenmore Trail SW ,09   Spilled liquid,09:54,2,,,,,,,20,Motor Vehicle Accident
3,2023,6,Between 12 pm and 4:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,275,"72,37,900", Westbound Glenmore Trail approaching Crowchild Trail SW ,01   Dry,09:56,2,,,,,,,20,Medical
3,2023,7,Between 12 pm and 4:59 am,45 to 54 years,Public transit,15 to 29 minutes,85,"70,07,800", Northbound Deerfoot Trail approaching Peigan Trail SE ,06   Ice,10:06,1,,,,,,,6,Medical
3,2023,8,Between 12 pm and 4:59 am,45 to 54 years,Bicycle,15 to 29 minutes,20,"69,52,400", Southbound Crowchild Trail approaching Glenmore Trail SW ,02   Wet,10:09,3,2,1,,,,,14,Medical
3,2023,9,Between 12 pm and 4:59 am,55 to 64 years,Car and  truck or van,60 minutes and over,235,"87,56,200", Westbound Glenmore Trail approaching Crowchild Trail SW ,01   Dry,06:50,2,,,,,,,17,Medical
3,2023,10,Between 12 pm and 4:59 am,55 to 64 years,Public transit,60 minutes and over,130,"85,73,700", Westbound 16 Avenue and 19 Street NW ,01   Dry,10:00,1,,,,,,,8,Medical
3,2023,11,Between 12 pm and 4:59 am,55 to 64 years,Bicycle,15 to 29 minutes,20,"83,67,100", Deerfoot Trail and 24 Street SE ,09   Spilled liquid,15:00,2,,,,,,,10,Motor Vehicle Accident
3,2023,12,Between 5 am and 5:59 am,15 to 24 years,Car and  truck or van,45 to 59 minutes,55,"93,67,100", Deerfoot Trail and 24 Street SE ,04   Slush,12:00,2,,,,,,,15,Medical
5,2021,1,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,2265,"78,79,478",Stony Plain Rd/149 St Reduced to 1 Lane Each W,01   Dry,15:19,2,,,,1,1,Road Construction,8,Medical
5,2021,2,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,1355,"77,73,662",87 Av Reduced to 1 Lane Each Way,01   Dry,16:08,2,,,,1,1,Weather Conditions,15,Medical
5,2021,3,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,60 minutes and over,175,"77,87,312",156 St/Meadowlark Rd Reduced to 1 Lane Each Way,06   Ice,13:40,2,,,,1,1,Medical Emergency,6,Medical
5,2021,4,Between 6 am and 6:59 am,25 to 34 years,Public transit,60 minutes and over,105,"79,45,074",99 Av Closure,02   Wet,00:00,1,,,,1,1,Vehicle Collision,12,Medical
5,2021,5,Between 6 am and 6:59 am,25 to 34 years,Bicycle,15 to 29 minutes,30,"59,57,866",87 Ave West LRT Construction,09   Spilled liquid,00:00,1,,,,1,1,Police Activity,9,Medical
5,2021,6,Between 6 am and 6:59 am,25 to 34 years,Bicycle,30 to 59 minutes,25,"60,20,062",34 Av Lane Reduction,01   Dry,17:22,1,1,1,,1,1,Mechanical Issue,20,Medical
5,2021,7,Between 6 am and 6:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,600,"54,51,139",Stony Plain Road Closure,04   Slush,17:03,2,,,,0,1,Parade,18,Medical
5,2021,8,Between 6 am and 6:59 am,45 to 54 years,Public transit,60 minutes and over,155,"52,24,082",167 St SW bridge lane closure,02   Wet,17:43,3,,,,1,1,Public Demonstration,7,Medical
5,2021,9,Between 6 am and 6:59 am,45 to 54 years,Bicycle,15 to 29 minutes,30,"79,94,130",106 St Lane Closure,02   Wet,17:30,1,,,,1,1,Power Outage,11,Medical
5,2021,10,Between 8 am and 8:59 am,15 to 24 years,Bicycle,30 to 59 minutes,10,"83,84,847",Single Lane Closures,02   Wet,04:30,1,,,,0,1,Animal on Road,14,Medical
5,2021,11,Between 8 am and 8:59 am,25 to 34 years,Public transit,60 minutes and over,80,"84,05,438",Parking Lane and Sidewalk Closed on NS Summit Dr,02   Wet,00:00,1,,,,1,1,Fire Emergency,25,Motor Vehicle Accident
5,2021,12,Between 8 am and 8:59 am,25 to 34 years,Bicycle,15 to 29 minutes,50,"78,92,451","104 Av, 110 St - 107 St & 109 St: 2 lanes each way",01   Dry,18:26,2,,,,,1,Flooding,10,Medical
5,2022,1,Between 8 am and 8:59 am,25 to 34 years,Bicycle,30 to 59 minutes,10,"80,93,532",111 St NB Lane Closure,01   Dry,16:33,2,,,,1,1,Debris on Road,7,Medical
5,2022,2,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,280,"77,94,958",106 St Reduced to 1 Lane Per Direction,01   Dry,17:31,1,1,,1,1,1,Bridge Closure,16,Medical
5,2022,3,Between 8 am and 8:59 am,45 to 54 years,Public transit,15 to 29 minutes,25,"46,36,999",100A Av Closed West of 156 St,01   Dry,00:03,2,1,1,,1,1,Bomb Threat,22,Medical
5,2022,4,Between 8 am and 8:59 am,45 to 54 years,Public transit,60 minutes and over,30,"24,53,037",36A Ave Total Closure,02   Wet,18:19,2,,,,1,1,Traffic Accident,13,Medical
5,2022,5,Between 8 am and 8:59 am,45 to 54 years,Bicycle,15 to 29 minutes,35,"19,84,313",106st Reduced to 1 Lane Per Direction,01   Dry,19:32,2,,,,1,1,Road Repairs,40,Medical
5,2022,6,Between 8 am and 8:59 am,55 to 64 years,Car and  truck or van,15 to 29 minutes,2885,"24,85,008",Intersection Left Turn Bans,09   Spilled liquid,00:00,1,,,,1,1,Sporting Event,30,Medical
5,2022,7,Between 8 am and 8:59 am,55 to 64 years,Bicycle,30 to 59 minutes,15,"28,11,472",104 Av Lane Reductions,01   Dry,12:30,1,,,,1,1,Utility Work,35,Medical
5,2022,8,Between 9 am and 11:59 am,25 to 34 years,Car and  truck or van,30 to 59 minutes,1200,"28,29,859",YHT/127 St Lane Reductions,01   Dry,21:41,1,,,,1,1,Fallen Tree,11,Medical
5,2022,9,Between 9 am and 11:59 am,35 to 44 years,Public transit,15 to 29 minutes,65,"39,88,943",North Sidewalk Closure,09   Spilled liquid,06:02,2,,,,1,1,Gas Leak,19,Fire
5,2022,10,Between 9 am and 11:59 am,55 to 64 years,Public transit,60 minutes and over,45,"41,63,496",106st reduced to one lane SB,09   Spilled liquid,06:30,2,,,,1,0,Traffic Signal Outage,16,Fire
5,2022,11,Between 9 am and 11:59 am,55 to 64 years,Bicycle,15 to 29 minutes,20,"39,07,567","116 St, 100 Ave - Jasper Ave: One lane each way.",05   Packed snow,06:47,1,,,,1,0,Hazardous Materials,8,Medical
5,2022,12,Between 12 pm and 4:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,3370,"31,26,378",Intersection Closure,05   Packed snow,06:50,2,,,,1,0,Sinkhole,6,Medical
5,2023,1,Between 12 pm and 4:59 am,15 to 24 years,Bicycle,30 to 59 minutes,15,"83,12,057",Truck Ban NB 178 St Bridge over Whitemud Dr,01   Dry,16:00,2,,,,1,0,Train Delay,50,Medical
5,2023,2,Between 12 pm and 4:59 am,25 to 34 years,Public transit,60 minutes and over,255,"78,18,343",116 Street Lane Reductions,01   Dry,16:37,3,,,,1,1,Bus Breakdown,15,Medical
5,2023,3,Between 12 pm and 4:59 am,25 to 34 years,Bicycle,15 to 29 minutes,55,"65,14,984",Power Aerial Install,01   Dry,16:30,2,,,,1,1,Construction Debris,9,Medical
5,2023,4,Between 12 pm and 4:59 am,35 to 44 years,Car and  truck or van,60 minutes and over,640,"41,48,086",106 st reduced to one lane per direction,01   Dry,16:42,2,,,,2,1,Traffic Light Failure,7,Medical
5,2023,5,Between 12 pm and 4:59 am,35 to 44 years,Public transit,15 to 29 minutes,140,"33,07,850",45ave Travel Delays,01   Dry,17:00,2,,,,1,1,Street Festival,12,Medical
5,2023,6,Between 12 pm and 4:59 am,35 to 44 years,Bicycle,60 minutes and over,10,"39,43,708",Single lane closure,09   Spilled liquid,00:00,1,,,,1,1,Vandalism,14,Medical
5,2023,7,Between 12 pm and 4:59 am,45 to 54 years,Public transit,60 minutes and over,120,"41,72,224",Pavement marking weave,02   Wet,17:52,2,,,,1,1,Special Event,20,Motor Vehicle Accident
5,2023,8,Between 12 pm and 4:59 am,45 to 54 years,Bicycle,15 to 29 minutes,20,"41,25,934",Right curb lane closure northbound,01   Dry,18:04,2,2,1,,1,1,Road Closure,26,Medical
5,2023,9,Between 12 pm and 4:59 am,45 to 54 years,Bicycle,30 to 59 minutes,15,"59,87,403",Terwillegar Drive Stage 1B Project,04   Slush,16:40,1,,,,1,1,Traffic Signal Malfunction,45,Medical
5,2023,10,Between 12 pm and 4:59 am,55 to 64 years,Car and  truck or van,30 to 59 minutes,1295,"62,57,734",97 ST Total Closure,04   Slush,17:30,2,,,,1,1,Fallen Sign,10,Medical
5,2023,11,Between 12 pm and 4:59 am,55 to 64 years,Public transit,60 minutes and over,60,"59,98,115",Yellowhead Trail Speed Reduction,01   Dry,19:10,2,,,,1,1,Suspicious Activity,21,Medical
5,2023,12,Between 5 am and 5:59 am,15 to 24 years,Public transit,60 minutes and over,25,"50,14,710",100 ST Southbound Closure,01   Dry,19:22,1,,,,1,1,Medical Emergency,15,Medical
6,2021,1,Between 6 am and 6:59 am,15 to 24 years,Public transit,15 to 29 minutes,25,,Springfield,02   Wet,09:47,1,1,,1,,,Road Maintenance,8,
6,2021,2,Between 6 am and 6:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,2070,,Glendale,02   Wet,10:23,2,1,1,,,,Storm Damage,15,
6,2021,3,Between 6 am and 6:59 am,35 to 44 years,Public transit,60 minutes and over,50,,Parkland,04   Slush,20:30,2,1,,,,,Medical Emergency,6,
6,2021,4,Between 6 am and 6:59 am,35 to 44 years,Bicycle,15 to 29 minutes,10,,Beaver Bank,01   Dry,08:20,2,,,,,,Vehicle Collision,12,
6,2021,5,Between 6 am and 6:59 am,45 to 54 years,Car and  truck or van,15 to 29 minutes,1800,,Bedford Commons,01   Dry,21:46,1,1,1,,,,Police Activity,9,
6,2021,6,Between 6 am and 6:59 am,45 to 54 years,Public transit,60 minutes and over,55,,Airport - Fall River Regi,09   Spilled liquid,00:00,1,,,,,,Mechanical Issue,20,
6,2021,7,Between 6 am and 6:59 am,45 to 54 years,Bicycle,15 to 29 minutes,15,,Glendale,02   Wet,10:41,3,2,1,,,,Parade,18,
6,2021,8,Between 8 am and 8:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,1230,,Larry Uteck,02   Wet,12:00,2,1,,,,,Public Demonstration,7,
6,2021,9,Between 8 am and 8:59 am,25 to 34 years,Public transit,15 to 29 minutes,110,,Porters Lake Regional Exp,02   Wet,12:42,2,,,,,,Power Outage,11,
6,2021,10,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,80,,Millwood,02   Wet,15:37,1,1,1,,,,Animal on Road,14,
6,2021,11,Between 8 am and 8:59 am,45 to 54 years,Public transit,15 to 29 minutes,15,,Dartmouth - Dalhousie,01   Dry,13:05,2,,,,,,Fire Emergency,25,
6,2021,12,Between 9 am and 11:59 am,25 to 34 years,Car and  truck or van,60 minutes and over,20,,Hemlock Ravine,01   Dry,13:35,1,,,,,,Flooding,10,
6,2022,1,Between 9 am and 11:59 am,25 to 34 years,Public transit,15 to 29 minutes,80,,Flamingo,04   Slush,06:45,2,,,,,,Debris on Road,7,
6,2022,2,Between 9 am and 11:59 am,25 to 34 years,Bicycle,15 to 29 minutes,40,,Sackville-Dartmouth,06   Ice,06:57,2,,,,,,Bridge Closure,16,
6,2022,3,Between 9 am and 11:59 am,45 to 54 years,Car and  truck or van,30 to 59 minutes,175,,Chebucto,06   Ice,07:00,2,,,,,,Bomb Threat,22,
6,2022,4,Between 9 am and 11:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,20,,Greystone,09   Spilled liquid,07:09,1,,,,,,Traffic Accident,13,
6,2022,5,Between 9 am and 11:59 am,45 to 54 years,Public transit,15 to 29 minutes,10,,Universities,09   Spilled liquid,06:45,2,,,,,,Road Construction,40,
6,2022,6,Between 9 am and 11:59 am,45 to 54 years,Public transit,30 to 59 minutes,15,,Bedford Commons,09   Spilled liquid,07:15,2,,,,,,Sporting Event,30,
6,2022,7,Between 9 am and 11:59 am,55 to 64 years,Car and  truck or van,15 to 29 minutes,435,,Windmill,09   Spilled liquid,07:30,2,1,,,,,Utility Work,35,
6,2022,8,Between 12 pm and 4:59 am,25 to 34 years,Public transit,60 minutes and over,70,,Herring Cove,09   Spilled liquid,06:40,2,,,,,,Fallen Tree,11,
6,2022,9,Between 12 pm and 4:59 am,25 to 34 years,Bicycle,15 to 29 minutes,10,,Dartmouth - Dalhousie,01   Dry,07:49,2,,,,,,Gas Leak,19,
6,2022,10,Between 12 pm and 4:59 am,35 to 44 years,Car and  truck or van,15 to 29 minutes,555,,Larry Uteck,09   Spilled liquid,07:50,1,,,,,,Traffic Signal Outage,16,
6,2022,11,Between 12 pm and 4:59 am,35 to 44 years,Car and  truck or van,30 to 59 minutes,290,,Notting Park,01   Dry,16:25,2,,,,,,Hazardous Materials,8,
6,2022,12,Between 12 pm and 4:59 am,35 to 44 years,Car and  truck or van,60 minutes and over,40,,Dalhousie,01   Dry,08:35,2,,,,,,Street Festival,35,
6,2023,1,Between 12 pm and 4:59 am,35 to 44 years,Public transit,15 to 29 minutes,30,,Purcells Cove,06   Ice,19:24,2,,,,,,Train Delay,50,
6,2023,2,Between 12 pm and 4:59 am,35 to 44 years,Public transit,30 to 59 minutes,45,,Hemlock Ravine,01   Dry,18:10,2,,,,,,Bus Breakdown,15,
6,2023,3,Between 12 pm and 4:59 am,35 to 44 years,Public transit,60 minutes and over,35,,Montebello,01   Dry,14:30,2,,,,,,Construction Debris,9,
6,2023,4,Between 12 pm and 4:59 am,45 to 54 years,Car and  truck or van,15 to 29 minutes,700,,Flamingo Express,06   Ice,04:34,1,,,,,,Traffic Light Failure,7,
6,2023,5,Between 12 pm and 4:59 am,45 to 54 years,Car and  truck or van,30 to 59 minutes,255,,Clayton Park Express,02   Wet,08:58,3,,,,,,Street Festival,12,
6,2023,6,Between 12 pm and 4:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,75,,Springfield Express,09   Spilled liquid,09:12,1,,,,,,Vandalism,14,
6,2023,7,Between 12 pm and 4:59 am,45 to 54 years,Public transit,15 to 29 minutes,25,,Millwood Express,01   Dry,17:20,2,,,,,,Special Event,20,
6,2023,8,Between 12 pm and 4:59 am,45 to 54 years,Public transit,30 to 59 minutes,40,,West Bedford Express,02   Wet,11:00,2,,,,,,Road Closure,26,
6,2023,9,Between 12 pm and 4:59 am,55 to 64 years,Public transit,15 to 29 minutes,35,,Basinview Express,09   Spilled liquid,11:40,2,,,,,,Traffic Signal Malfunction,45,
6,2023,10,Between 12 pm and 4:59 am,55 to 64 years,Public transit,30 to 59 minutes,30,,Fairview,04   Slush,12:51,2,,,,,,Fallen Sign,10,
6,2023,11,Between 12 pm and 4:59 am,55 to 64 years,Public transit,60 minutes and over,30,,Governors Brook,01   Dry,13:33,2,,,,,,Suspicious Activity,21,
6,2023,12,Between 5 am and 5:59 am,25 to 34 years,Public transit,60 minutes and over,30,,Cowie Hill Express,02   Wet,07:40,1,,,,,,Sinkhole,26,
8,2021,1,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,15 to 29 minutes,1200,,"22 ABC Street, Kitchener, ON, A1B C2D",02   Wet,09:15,2,,,,,,Vehicle Accident,8,Medical
8,2021,2,Between 6 am and 6:59 am,15 to 24 years,Car and  truck or van,30 to 59 minutes,435,,"143 XYZ Avenue, Kitchener, ON, E3F G4H",01   Dry,14:48,4,,,,,,Medical Emergency,15,Medical
8,2021,3,Between 6 am and 6:59 am,25 to 34 years,Public transit,60 minutes and over,50,,"88 Example Road, Kitchener, ON, I5J K6L",02   Wet,20:10,2,,,,,,Weather Conditions,6,Medical
8,2021,4,Between 6 am and 6:59 am,25 to 34 years,Bicycle,15 to 29 minutes,30,,"201 Random Street, Kitchener, ON, M7N O8P",01   Dry,19:21,1,2,1,,,,Road Repairs,12,Medical
8,2021,5,Between 6 am and 6:59 am,25 to 34 years,Bicycle,60 minutes and over,20,,"55 Test Drive, Kitchener, ON, Q9R S0T",02   Wet,15:05,2,1,1,,,,Police Activity,9,Motor Vehicle Accident
8,2021,6,Between 6 am and 6:59 am,35 to 44 years,Car and  truck or van,15 to 29 minutes,2225,,"10 Sample Boulevard, Kitchener, ON, U1V W2X",01   Dry,09:06,2,1,,,,,Mechanical Issue,20,Medical
8,2021,7,Between 6 am and 6:59 am,35 to 44 years,Car and  truck or van,30 to 59 minutes,1065,,"79 Mock Lane, Kitchener, ON, Y3Z A4B",01   Dry,10:00,2,,,,,,Festival,18,Medical
8,2021,8,Between 6 am and 6:59 am,35 to 44 years,Car and  truck or van,60 minutes and over,390,,"35 Fictional Court, Kitchener, ON, C5D E6F",01   Dry,20:17,2,,,,,,Collision,7,Medical
8,2021,9,Between 6 am and 6:59 am,35 to 44 years,Public transit,15 to 29 minutes,30,,"200 Imaginary Avenue, Kitchener, ON, G7H I8J",06   Ice,21:47,1,,,,,,Power Outage,11,Medical
8,2021,10,Between 6 am and 6:59 am,45 to 54 years,Car and  truck or van,60 minutes and over,380,,"42 Madeup Street, Kitchener, ON, K9L M0N",01   Dry,21:29,1,,,,,,Pedestrian Incident,14,Medical
8,2021,11,Between 6 am and 6:59 am,45 to 54 years,Public transit,15 to 29 minutes,20,,"562 Waterton Crt, Waterloo, ON",01   Dry,17:15,1,,,,,,Fire Emergency,25,Medical
8,2021,12,Between 6 am and 6:59 am,55 to 64 years,Bicycle,15 to 29 minutes,10,,"61 N Westshore Blvd, Kitchener, ON",02   Wet,15:15,2,,,,,,Flooded Road,10,Emergency Transfer
8,2022,1,Between 8 am and 8:59 am,25 to 34 years,Car and  truck or van,15 to 29 minutes,1515,,"12384 Ninth Line, Stouffville, ON",01   Dry,10:00,3,,,,,,Fallen Branch,7,Medical
8,2022,2,Between 8 am and 8:59 am,35 to 44 years,Public transit,60 minutes and over,10,,"733 Lake Erie Dr, Kingsville, ON",09   Spilled liquid,11:31,1,,,,,,Construction Work,16,Medical
8,2022,3,Between 8 am and 8:59 am,45 to 54 years,Car and  truck or van,15 to 29 minutes,1395,,"698 N Allen Rd, Montreal, QC",09   Spilled liquid,11:41,2,,,,,,Protest,22,Medical
8,2022,4,Between 9 am and 11:59 am,25 to 34 years,Public transit,60 minutes and over,40,,562 Waterton Crt Waterloo ONN2V 2K5,06   Ice,11:48,1,,,,,,Vehicle Breakdown,13,Medical
8,2022,5,Between 9 am and 11:59 am,25 to 34 years,Bicycle,30 to 59 minutes,10,,61 N Westshore Blvd Kitchener ONN2A 1S3,09   Spilled liquid,10:53,2,,,,,,Traffic Signal Failure,40,Medical
8,2022,6,Between 9 am and 11:59 am,35 to 44 years,Public transit,60 minutes and over,35,,12384 Ninth Line Stouffville ONL4A 1C1,01   Dry,13:06,2,,,,,,Sporting Event,30,Medical
8,2022,7,Between 9 am and 11:59 am,45 to 54 years,Car and  truck or van,15 to 29 minutes,730,,733 Lake Erie Dr Kingsville ONN9Y 2P7,09   Spilled liquid,13:13,2,,,,,,Utility Maintenance,35,Medical
